"","kick_distance","yardline_100","diff"
"418",42,24,18
"419",39,21,18
"420",46,28,18
"421",40,22,18
"422",45,27,18
"423",36,18,18
"424",24,6,18
"425",28,10,18
"426",38,20,18
"427",37,19,18
"428",50,32,18
"429",28,10,18
"430",49,30,19
"431",43,25,18
"432",45,27,18
"433",38,20,18
"434",27,9,18
"435",43,25,18
"436",52,34,18
"437",21,2,19
"438",49,31,18
"439",47,29,18
"440",33,15,18
"441",36,18,18
"442",34,16,18
"443",36,18,18
"444",40,22,18
"445",29,11,18
"446",32,14,18
"447",22,4,18
"448",33,15,18
"449",33,15,18
"450",28,10,18
"451",22,4,18
"452",44,26,18
"453",30,12,18
"454",28,10,18
"455",30,12,18
"456",23,5,18
"457",49,31,18
"458",51,33,18
"459",32,14,18
"460",41,23,18
"461",27,9,18
"462",24,6,18
"463",41,23,18
"464",31,13,18
"465",50,32,18
"466",52,34,18
"467",30,12,18
"468",38,20,18
"469",55,37,18
"470",23,5,18
"471",34,16,18
"472",49,31,18
"473",28,10,18
"474",45,27,18
"475",22,4,18
"476",22,4,18
"477",53,35,18
"478",44,26,18
"479",21,3,18
"480",21,3,18
"481",41,23,18
"482",20,2,18
"483",51,33,18
"484",55,38,17
"485",40,22,18
"486",34,16,18
"487",29,11,18
"488",41,23,18
"489",50,32,18
"490",31,13,18
"491",54,35,19
"492",49,31,18
"493",55,37,18
"494",48,31,17
"495",55,37,18
"496",38,20,18
"497",25,7,18
"498",37,19,18
"499",31,13,18
"500",41,23,18
"501",24,5,19
"502",29,11,18
"503",48,30,18
"504",55,37,18
"505",44,26,18
"506",35,17,18
"507",47,29,18
"508",33,14,19
"509",46,28,18
"510",53,34,19
"511",58,40,18
"512",34,16,18
"513",48,30,18
"514",28,10,18
"515",27,9,18
"516",26,8,18
"517",51,33,18
"518",24,5,19
"519",54,36,18
"520",36,18,18
"521",49,31,18
"522",48,30,18
"523",26,8,18
"524",46,28,18
"525",55,37,18
"526",41,23,18
"527",23,5,18
"528",21,3,18
"529",33,15,18
"530",29,11,18
"531",28,10,18
"532",34,16,18
"533",40,22,18
"534",26,8,18
"535",38,21,17
"536",49,31,18
"537",42,24,18
"538",32,15,17
"539",23,5,18
"540",36,18,18
"541",44,26,18
"542",38,20,18
"543",43,25,18
"544",53,35,18
"545",29,11,18
"546",46,28,18
"547",25,7,18
"548",55,36,19
"549",48,31,17
"550",54,36,18
"551",30,12,18
"552",27,9,18
"553",25,7,18
"554",38,20,18
"555",25,7,18
"556",40,22,18
"557",37,18,19
"558",53,35,18
"559",39,21,18
"560",55,37,18
"561",25,7,18
"562",46,28,18
"563",50,32,18
"564",30,12,18
"565",42,24,18
"566",28,10,18
"567",37,18,19
"568",29,11,18
"569",38,20,18
"570",51,33,18
"571",23,5,18
"572",49,31,18
"573",54,36,18
"574",50,32,18
"575",44,26,18
"576",51,33,18
"577",42,24,18
"578",47,29,18
"579",36,18,18
"580",33,14,19
"581",37,18,19
"582",20,2,18
"583",38,20,18
"584",34,16,18
"585",45,27,18
"586",27,9,18
"587",30,12,18
"588",37,19,18
"589",50,32,18
"590",28,10,18
"591",27,8,19
"592",31,13,18
"593",41,23,18
"594",30,12,18
"595",23,5,18
"596",39,21,18
"597",49,30,19
"598",19,1,18
"599",53,35,18
"600",34,16,18
"601",34,16,18
"602",27,9,18
"603",46,28,18
"604",30,12,18
"605",21,3,18
"606",26,8,18
"607",54,36,18
"608",20,2,18
"609",40,22,18
"610",46,28,18
"611",51,33,18
"612",36,18,18
"613",37,19,18
"614",36,18,18
"615",32,14,18
"616",19,1,18
"617",20,2,18
"618",28,11,17
"619",27,9,18
"620",27,8,19
"621",52,34,18
"622",43,25,18
"623",46,28,18
"624",48,30,18
"625",33,15,18
"626",38,20,18
"627",32,14,18
"628",27,9,18
"629",49,32,17
"630",38,20,18
"631",42,24,18
"632",30,12,18
"633",21,3,18
"634",35,17,18
"635",44,26,18
"636",32,14,18
"637",33,15,18
"638",24,6,18
"639",22,4,18
"640",22,4,18
"641",31,12,19
"642",22,3,19
"643",41,23,18
"644",36,18,18
"645",42,24,18
"646",47,29,18
"647",49,31,18
"648",25,7,18
"649",45,27,18
"650",54,36,18
"651",23,5,18
"652",23,5,18
"653",52,34,18
"654",23,4,19
"655",57,39,18
"656",54,36,18
"657",36,18,18
"658",36,18,18
"659",48,30,18
"660",33,15,18
"661",50,32,18
"662",32,14,18
"663",33,15,18
"664",44,26,18
"665",37,19,18
"666",62,44,18
"667",34,16,18
"668",29,11,18
"669",30,12,18
"670",28,10,18
"671",48,30,18
"672",40,22,18
"673",51,33,18
"674",28,10,18
"675",54,36,18
"676",39,21,18
"677",29,11,18
"678",41,22,19
"679",20,2,18
"680",25,7,18
"681",52,34,18
"682",54,36,18
"683",19,2,17
"684",45,27,18
"685",43,25,18
"686",48,29,19
"687",24,6,18
"688",36,18,18
"689",19,1,18
"690",31,13,18
"691",43,25,18
"692",24,6,18
"693",46,28,18
"694",55,38,17
"695",20,2,18
"696",27,9,18
"697",47,29,18
"698",41,23,18
"699",47,28,19
"700",23,5,18
"701",37,19,18
"702",31,13,18
"703",28,10,18
"704",48,31,17
"705",36,18,18
"706",33,15,18
"707",39,21,18
"708",47,29,18
"709",32,14,18
"710",41,23,18
"711",27,9,18
"712",40,22,18
"713",29,11,18
"714",32,14,18
"715",32,14,18
"716",27,9,18
"717",52,33,19
"718",38,20,18
"719",53,35,18
"720",36,18,18
"721",22,4,18
"722",22,4,18
"723",59,42,17
"724",28,10,18
"725",44,26,18
"726",48,30,18
"727",45,27,18
"728",45,26,19
"729",46,28,18
"730",55,37,18
"731",44,26,18
"732",34,16,18
"733",38,20,18
"734",32,14,18
"735",51,33,18
"736",33,15,18
"737",26,8,18
"738",38,20,18
"739",31,13,18
"740",28,10,18
"741",45,27,18
"742",53,36,17
"743",31,13,18
"744",27,9,18
"745",35,16,19
"746",47,29,18
"747",20,1,19
"748",28,10,18
"749",53,35,18
"750",53,35,18
"751",41,23,18
"752",56,38,18
"753",21,3,18
"754",34,16,18
"755",50,32,18
"756",38,20,18
"757",37,20,17
"758",38,20,18
"759",29,11,18
"760",54,36,18
"761",36,18,18
"762",30,12,18
"763",44,25,19
"764",55,37,18
"765",39,21,18
"766",53,35,18
"767",41,23,18
"768",34,16,18
"769",32,14,18
"770",21,3,18
"771",55,37,18
"772",52,33,19
"773",24,6,18
"774",41,22,19
"775",34,17,17
"776",43,25,18
"777",32,14,18
"778",45,27,18
"779",40,22,18
"780",55,37,18
"781",24,7,17
"782",41,23,18
"783",46,28,18
"784",61,43,18
"785",41,23,18
"786",39,21,18
"787",42,23,19
"788",34,15,19
"789",22,4,18
"790",26,7,19
"791",44,26,18
"792",48,30,18
"793",36,18,18
"794",47,29,18
"795",30,12,18
"796",50,32,18
"797",44,26,18
"798",33,14,19
"799",37,19,18
"800",39,21,18
"801",41,23,18
"802",44,26,18
"803",45,27,18
"804",23,5,18
"805",32,14,18
"806",28,10,18
"807",51,34,17
"808",38,20,18
"809",45,27,18
"810",38,20,18
"811",36,18,18
"812",41,23,18
"813",35,17,18
"814",43,25,18
"815",23,5,18
"816",23,6,17
"817",26,8,18
"818",38,20,18
"819",34,16,18
"820",41,22,19
"821",21,3,18
"822",35,17,18
"823",40,22,18
"824",34,16,18
"825",48,29,19
"826",47,29,18
"827",33,15,18
"828",26,8,18
"829",34,16,18
"830",18,1,17
"831",22,4,18
"832",32,14,18
"833",48,30,18
"834",50,32,18
"835",32,14,18
"836",51,33,18
"837",26,8,18
"838",50,32,18
"839",39,22,17
"840",45,27,18
"841",43,25,18
"842",27,10,17
"843",48,30,18
"844",36,18,18
"845",48,30,18
"846",36,18,18
"847",45,27,18
"848",33,15,18
"849",40,22,18
"850",21,3,18
"851",37,19,18
"852",55,37,18
"853",39,21,18
"854",45,27,18
"855",35,17,18
"856",33,15,18
"857",21,2,19
"858",44,26,18
"859",45,27,18
"860",53,35,18
"861",47,28,19
"862",34,16,18
"863",27,9,18
"864",29,11,18
"865",23,5,18
"866",45,27,18
"867",49,31,18
"868",22,4,18
"869",49,31,18
"870",40,22,18
"871",49,31,18
"872",30,12,18
"873",50,32,18
"874",41,23,18
"875",56,38,18
"876",25,7,18
"877",27,9,18
"878",34,16,18
"879",52,34,18
"880",40,22,18
"881",38,20,18
"882",33,15,18
"883",34,16,18
"884",39,21,18
"885",53,35,18
"886",45,27,18
"887",27,9,18
"888",53,35,18
"889",42,24,18
"890",43,25,18
"891",51,32,19
"892",48,30,18
"893",31,13,18
"894",30,12,18
"895",40,22,18
"896",29,11,18
"897",31,13,18
"898",50,32,18
"899",41,23,18
"900",38,19,19
"901",36,18,18
"902",46,28,18
"903",23,4,19
"904",43,25,18
"905",25,7,18
"906",22,5,17
"907",43,25,18
"908",39,21,18
"909",52,34,18
"910",27,9,18
"911",39,21,18
"912",47,29,18
"913",42,25,17
"914",46,28,18
"915",46,28,18
"916",28,10,18
"917",55,37,18
"918",45,27,18
"919",27,8,19
"920",22,4,18
"921",26,8,18
"922",48,30,18
"923",35,17,18
"924",35,17,18
"925",29,11,18
"926",41,23,18
"927",41,23,18
"928",29,11,18
"929",22,4,18
"930",34,16,18
"931",29,11,18
"932",43,25,18
"933",49,31,18
"934",27,9,18
"935",32,14,18
"936",45,27,18
"937",42,24,18
"938",34,16,18
"939",21,3,18
"940",35,17,18
"941",29,11,18
"942",48,30,18
"943",42,24,18
"944",56,38,18
"945",50,32,18
"946",22,4,18
"947",29,11,18
"948",20,1,19
"949",32,14,18
"950",34,16,18
"951",37,19,18
"952",36,18,18
"953",47,29,18
"954",30,12,18
"955",23,5,18
"956",24,6,18
"957",34,16,18
"958",30,12,18
"959",36,18,18
"960",25,7,18
"961",33,15,18
"962",45,27,18
"963",46,27,19
"964",58,40,18
"965",54,36,18
"966",48,30,18
"967",36,18,18
"968",21,3,18
"969",29,11,18
"970",49,31,18
"971",34,16,18
"972",22,3,19
"973",49,31,18
"974",23,5,18
"975",49,31,18
"976",33,15,18
"977",39,20,19
"978",53,35,18
"979",54,36,18
"980",45,27,18
"981",26,8,18
"982",35,17,18
"983",47,29,18
"984",48,30,18
"985",45,27,18
"986",30,12,18
"987",54,36,18
"988",41,23,18
"989",35,17,18
"990",35,16,19
"991",25,7,18
"992",29,11,18
"993",37,19,18
"994",40,22,18
"995",26,8,18
"996",52,34,18
"997",19,1,18
"998",40,22,18
"999",22,4,18
"1000",22,4,18
"1001",57,39,18
"1002",32,14,18
"1003",40,22,18
"1004",22,4,18
"1005",48,30,18
"1006",31,13,18
"1007",32,14,18
"1008",33,15,18
"1009",28,10,18
"1010",43,25,18
"1011",51,33,18
"1012",53,35,18
"1013",27,9,18
"1014",38,20,18
"1015",47,29,18
"1016",34,16,18
"1017",26,8,18
"1018",40,22,18
"1019",32,14,18
"1020",50,32,18
"1021",38,20,18
"1022",50,32,18
"1023",33,15,18
"1024",56,38,18
"1025",52,33,19
"1026",51,33,18
"1027",33,15,18
"1028",27,9,18
"1029",19,1,18
"1030",46,28,18
"1031",43,24,19
"1032",22,4,18
"1033",38,20,18
"1034",36,18,18
"1035",45,27,18
"1036",43,25,18
"1037",48,30,18
"1038",43,25,18
"1039",33,15,18
"1040",35,17,18
"1041",26,8,18
"1042",31,13,18
"1043",41,23,18
"1044",28,10,18
"1045",31,13,18
"1046",23,5,18
"1047",47,29,18
"1048",26,8,18
"1049",41,23,18
"1050",33,15,18
"1051",24,6,18
"1052",32,14,18
"1053",58,40,18
"1054",48,30,18
"1055",54,36,18
"1056",28,10,18
"1057",37,19,18
"1058",25,7,18
"1059",25,7,18
"1060",39,21,18
"1061",36,18,18
"1062",20,2,18
"1063",44,26,18
"1064",50,32,18
"1065",20,2,18
"1066",35,17,18
"1067",38,20,18
"1068",44,26,18
"1069",42,24,18
"1070",25,7,18
"1071",39,21,18
"1072",38,20,18
"1073",25,8,17
"1074",32,14,18
"1075",20,2,18
"1076",50,32,18
"1077",44,26,18
"1078",43,25,18
"1079",24,7,17
"1080",21,2,19
"1081",32,13,19
"1082",24,6,18
"1083",20,2,18
"1084",45,27,18
"1085",21,3,18
"1086",48,30,18
"1087",42,25,17
"1088",25,7,18
"1089",36,18,18
"1090",48,30,18
"1091",46,28,18
"1092",52,34,18
"1093",20,2,18
"1094",23,5,18
"1095",52,34,18
"1096",52,34,18
"1097",26,8,18
"1098",52,34,18
"1099",43,25,18
"1100",52,34,18
"1101",50,32,18
"1102",42,24,18
"1103",33,15,18
"1104",37,20,17
"1105",24,6,18
"1106",33,15,18
"1107",21,3,18
"1108",40,22,18
"1109",41,23,18
"1110",46,28,18
"1111",27,9,18
"1112",29,11,18
"1113",40,22,18
"1114",42,24,18
"1115",30,12,18
"1116",34,16,18
"1117",28,10,18
"1118",45,27,18
"1119",20,2,18
"1120",42,24,18
"1121",50,32,18
"1122",23,5,18
"1123",58,40,18
"1124",38,20,18
"1125",28,10,18
"1126",49,31,18
"1127",56,38,18
"1128",56,38,18
"1129",25,7,18
"1130",51,33,18
"1131",28,10,18
"1132",53,35,18
"1133",26,8,18
"1134",39,21,18
"1135",29,11,18
"1136",30,12,18
"1137",42,24,18
"1138",30,12,18
"1139",41,23,18
"1140",43,25,18
"1141",28,10,18
"1142",35,17,18
"1143",54,36,18
"1144",44,26,18
"1145",42,24,18
"1146",46,28,18
"1147",29,11,18
"1148",37,19,18
"1149",43,25,18
"1150",46,28,18
"1151",35,16,19
"1152",28,10,18
"1153",49,31,18
"1154",24,6,18
"1155",27,9,18
"1156",46,28,18
"1157",40,22,18
"1158",29,11,18
"1159",34,16,18
"1160",34,16,18
"1161",39,21,18
"1162",30,11,19
"1163",40,22,18
"1164",25,7,18
"1165",27,9,18
"1166",40,22,18
"1167",37,19,18
"1168",34,16,18
"1169",43,25,18
"1170",40,22,18
"1171",41,23,18
"1172",26,8,18
"1173",41,22,19
"1174",22,4,18
"1175",32,14,18
"1176",51,33,18
"1177",40,22,18
"1178",36,18,18
"1179",55,37,18
"1180",40,22,18
"1181",48,30,18
"1182",40,22,18
"1183",35,17,18
"1184",57,38,19
"1185",23,5,18
"1186",45,27,18
"1187",29,11,18
"1188",48,30,18
"1189",28,10,18
"1190",46,28,18
"1191",27,9,18
"1192",33,14,19
"1193",36,18,18
"1194",37,19,18
"1195",38,20,18
"1196",49,31,18
"1197",35,17,18
"1198",55,37,18
"1199",28,10,18
"1200",53,34,19
"1201",27,9,18
"1202",39,21,18
"1203",40,22,18
"1204",31,13,18
"1205",36,18,18
"1206",34,16,18
"1207",29,11,18
"1208",48,30,18
"1209",36,18,18
"1210",48,30,18
"1211",19,1,18
"1212",45,26,19
"1213",40,22,18
"1214",22,4,18
"1215",32,14,18
"1216",48,30,18
"1217",33,15,18
"1218",50,31,19
"1219",56,37,19
"1220",52,34,18
"1221",41,23,18
"1222",46,28,18
"1223",61,43,18
"1224",52,34,18
"1225",23,5,18
"1226",22,4,18
"1227",28,10,18
"1228",47,29,18
"1229",35,18,17
"1230",24,5,19
"1231",32,14,18
"1232",24,6,18
"1233",37,19,18
"1234",47,29,18
"1235",35,17,18
"1236",40,22,18
"1237",20,2,18
"1238",37,19,18
"1239",28,10,18
"1240",24,6,18
"1241",56,38,18
"1242",55,37,18
"1243",41,23,18
"1244",32,14,18
"1245",35,17,18
"1246",58,40,18
"1247",48,30,18
"1248",47,29,18
"1249",48,30,18
"1250",41,23,18
"1251",29,10,19
"1252",59,41,18
"1253",37,18,19
"1254",39,21,18
"1255",44,25,19
"1256",37,19,18
"1257",40,22,18
"1258",30,12,18
"1259",45,27,18
"1260",45,27,18
"1261",26,8,18
"1262",52,34,18
"1263",22,4,18
"1264",41,23,18
"1265",34,16,18
"1266",49,31,18
"1267",44,26,18
"1268",44,26,18
"1269",30,12,18
"1270",28,10,18
"1271",43,25,18
"1272",33,15,18
"1273",41,23,18
"1274",43,25,18
"1275",45,27,18
"1276",46,28,18
"1277",30,12,18
"1278",20,2,18
"1279",49,30,19
"1280",43,25,18
"1281",34,16,18
"1282",28,10,18
"1283",36,18,18
"1284",46,28,18
"1285",29,11,18
"1286",38,20,18
"1287",45,27,18
"1288",40,22,18
"1289",53,35,18
"1290",28,10,18
"1291",47,29,18
"1292",31,13,18
"1293",49,31,18
"1294",62,44,18
"1295",42,24,18
"1296",44,26,18
"1297",49,31,18
"1298",29,12,17
"1299",39,21,18
"1300",43,25,18
"1301",47,29,18
"1302",50,32,18
"1303",48,30,18
"1304",32,14,18
"1305",23,5,18
"1306",50,32,18
"1307",40,22,18
"1308",33,15,18
"1309",19,1,18
"1310",46,28,18
"1311",26,7,19
"1312",32,14,18
"1313",40,22,18
"1314",43,25,18
"1315",51,33,18
"1316",36,18,18
"1317",28,10,18
"1318",32,14,18
"1319",22,5,17
"1320",21,3,18
"1321",44,26,18
"1322",31,13,18
"1323",30,12,18
"1324",38,20,18
"1325",28,10,18
"1326",29,11,18
"1327",30,12,18
"1328",21,3,18
"1329",44,26,18
"1330",55,37,18
"1331",22,4,18
"1332",43,25,18
"1333",29,11,18
"1334",34,16,18
"1335",20,2,18
"1336",47,29,18
"1337",35,17,18
"1338",42,24,18
"1339",41,23,18
"1340",35,17,18
"1341",49,30,19
"1342",20,2,18
"1343",31,13,18
"1344",26,8,18
"1345",26,8,18
"1346",27,9,18
"1347",23,5,18
"1348",56,38,18
"1349",45,27,18
"1350",49,31,18
"1351",31,13,18
"1352",48,30,18
"1353",52,34,18
"1354",39,21,18
"1355",57,39,18
"1356",35,17,18
"1357",48,29,19
"1358",36,18,18
"1359",49,31,18
"1360",35,17,18
"1361",52,34,18
"1362",28,10,18
"1363",23,5,18
"1364",43,25,18
"1365",38,20,18
"1366",40,22,18
"1367",51,33,18
"1368",41,23,18
"1369",45,27,18
"1370",24,5,19
"1371",27,9,18
"1372",31,13,18
"1373",50,31,19
"1374",40,22,18
"1375",40,23,17
"1376",41,23,18
"1377",41,23,18
"1378",41,22,19
"1379",56,38,18
"1380",26,8,18
"1381",36,18,18
"1382",34,17,17
"1383",53,35,18
"1384",48,30,18
"1385",36,18,18
"1386",32,14,18
"1387",40,22,18
"1388",25,6,19
"1389",48,30,18
"1390",23,5,18
"1391",52,34,18
"1392",56,37,19
"1393",54,36,18
"1394",41,23,18
"1395",29,11,18
"1396",54,36,18
"1397",48,30,18
"1398",44,26,18
"1399",32,14,18
"1400",50,32,18
"1401",59,41,18
"1402",49,31,18
"1403",38,20,18
"1404",47,29,18
"1405",28,9,19
"1406",28,10,18
"1407",25,7,18
"1408",35,16,19
"1409",28,10,18
"1410",51,33,18
"1411",53,35,18
"1412",49,31,18
"1413",40,22,18
"1414",50,32,18
"1415",39,21,18
"1416",20,2,18
"1417",48,30,18
"1418",46,29,17
"1419",46,28,18
"1420",24,6,18
"1421",33,15,18
"1422",48,30,18
"1423",52,33,19
"1424",47,28,19
"1425",21,3,18
"1426",28,10,18
"1427",32,14,18
"1428",23,5,18
"1429",33,14,19
"1430",53,35,18
"1431",34,16,18
"1432",37,19,18
"1433",29,10,19
"1434",36,17,19
"1435",21,3,18
"1436",38,20,18
"1437",48,30,18
"1438",52,34,18
"1439",51,33,18
"1440",57,39,18
"1441",43,24,19
"1442",43,25,18
"1443",47,29,18
"1444",34,17,17
"1445",32,14,18
"1446",52,34,18
"1447",36,18,18
"1448",19,1,18
"1449",22,4,18
"1450",24,6,18
"1451",41,23,18
"1452",49,31,18
"1453",25,7,18
"1454",42,24,18
"1455",42,24,18
"1456",33,15,18
"1457",53,35,18
"1458",53,35,18
"1459",39,21,18
"1460",45,27,18
"1461",37,19,18
"1462",26,8,18
"1463",59,41,18
"1464",28,10,18
"1465",46,28,18
"1466",44,26,18
"1467",39,21,18
"1468",39,21,18
"1469",47,29,18
"1470",50,32,18
"1471",25,6,19
"1472",25,7,18
"1473",41,23,18
"1474",52,34,18
"1475",30,12,18
"1476",43,25,18
"1477",31,13,18
"1478",23,5,18
"1479",47,29,18
"1480",46,28,18
"1481",53,35,18
"1482",54,36,18
"1483",47,29,18
"1484",27,9,18
"1485",50,32,18
"1486",42,24,18
"1487",45,27,18
"1488",46,28,18
"1489",43,25,18
"1490",23,5,18
"1491",45,27,18
"1492",37,19,18
"1493",48,30,18
"1494",46,28,18
"1495",29,11,18
"1496",28,10,18
